Time (s),Load (lbf),Machine Extension (in),Extension (in)
0.3263,0.012961,0.0040670,0.0040670
0.3273,0.012966,0.0040815,0.0040815
0.3283,0.012970,0.0040959,0.0040959
0.3293,0.012975,0.0041103,0.0041103
0.3303,0.012980,0.0041248,0.0041248
0.3313,0.012984,0.0041392,0.0041392
0.3323,0.012989,0.0041536,0.0041536
0.3333,0.012994,0.0041681,0.0041681
0.3343,0.012998,0.0041825,0.0041825
0.3352,0.013003,0.0041969,0.0041969
0.3362,0.013008,0.0042114,0.0042114
0.3372,0.013013,0.0042258,0.0042258
0.3382,0.013017,0.0042402,0.0042402
0.3392,0.013022,0.0042547,0.0042547
0.3402,0.013027,0.0042691,0.0042691
0.3412,0.013031,0.0042835,0.0042835
0.3422,0.013036,0.0042980,0.0042980
0.3432,0.013041,0.0043124,0.0043124
0.3442,0.013045,0.0043268,0.0043268
0.3452,0.013050,0.0043413,0.0043413
0.3462,0.013055,0.0043557,0.0043557
0.3472,0.013060,0.0043701,0.0043701
0.3482,0.013064,0.0043846,0.0043846
0.3492,0.013069,0.0043939,0.0043939
0.3502,0.013074,0.0044023,0.0044023
0.3512,0.013078,0.0044108,0.0044108
0.3522,0.013083,0.0044193,0.0044193
0.3532,0.013088,0.0044278,0.0044278
0.3541,0.013092,0.0044363,0.0044363
0.3551,0.013097,0.0044448,0.0044448
0.3561,0.013102,0.0044533,0.0044533
0.3571,0.013106,0.0044617,0.0044617
0.3581,0.013111,0.0044702,0.0044702
0.3591,0.013116,0.0044787,0.0044787
0.3601,0.013121,0.0044872,0.0044872
0.3611,0.013125,0.0044957,0.0044957
0.3621,0.013130,0.0045042,0.0045042
0.3631,0.013135,0.0045126,0.0045126
0.3641,0.013139,0.0045211,0.0045211
0.3651,0.013144,0.0045296,0.0045296
0.3661,0.013149,0.0045381,0.0045381
0.3671,0.013153,0.0045466,0.0045466
0.3681,0.013158,0.0045551,0.0045551
0.3691,0.013163,0.0045636,0.0045636
0.3701,0.013168,0.0045720,0.0045720
0.3711,0.013172,0.0045805,0.0045805
0.3721,0.013177,0.0045912,0.0045912
0.3730,0.013182,0.0046066,0.0046066
0.3740,0.013186,0.0046221,0.0046221
0.3750,0.013191,0.0046376,0.0046376
0.3760,0.013196,0.0046531,0.0046531
0.3770,0.013200,0.0046686,0.0046686
0.3780,0.013205,0.0046841,0.0046841
0.3790,0.013210,0.0046995,0.0046995
0.3800,0.013215,0.0047150,0.0047150
0.3810,0.013219,0.0047305,0.0047305
0.3820,0.013224,0.0047508,0.0047508
0.3830,0.013229,0.0047762,0.0047762
0.3840,0.013234,0.0048016,0.0048016
0.3850,0.013240,0.0048270,0.0048270
